@relation traind

@attribute MEAN numeric
@attribute MAXF numeric
@attribute MINF numeric
@attribute RANGEF numeric
@attribute KURT numeric
@attribute SKEW numeric
@attribute F_Label {0,1,2,3,4,5,6,7,8}

@data
0.974445,1.112366,0.793839,0.318527,3.065491,0.851767,0
6.013456,6.175613,5.701065,0.474548,0.824325,-0.284854,0
0.760555,0.896835,0.453186,0.443649,3.50538,0.967973,0
1.25873,1.419449,0.930023,0.489426,5.790398,1.409136,0
0.980317,1.112366,0.761795,0.350571,4.624084,0.978099,0
5.732858,5.856323,5.375671,0.480652,0.573496,-1.215891,0
1.831839,2.10495,1.421738,0.683212,-0.777297,0.257655,0
5.310657,5.415726,5.078888,0.336838,0.097818,0.02609,0
11.215225,11.678696,10.99968,0.679016,6.558958,2.619346,0
2.255081,2.737808,1.535034,1.202774,-1.287148,-0.540113,0
1.285692,1.433563,0.912094,0.521469,5.885517,1.310831,0
5.509103,5.620193,5.24025,0.379944,-0.848092,-0.360758,0
1.262144,1.419449,0.930023,0.489426,4.389055,1.242136,0
6.233911,6.394577,5.949783,0.444794,4.097245,-1.650011,0
11.723634,12.287521,11.312866,0.974655,-0.94523,0.5224,0
6.1306,6.336975,5.789948,0.547028,2.202639,1.577268,0
0.8096,0.962067,0.515747,0.44632,4.221636,0.936013,0
1.344365,1.570511,1.058197,0.512314,-0.506303,0.56492,0
11.175068,11.312485,11.022949,0.289536,0.324277,0.096963,0
1.258189,1.411057,0.930023,0.481033,6.047842,1.416878,0
11.176311,11.327744,10.982895,0.344849,0.0265,-0.003823,0
1.27224,1.433563,0.930023,0.50354,2.76907,0.898106,0
11.178641,11.327744,10.982895,0.344849,0.170139,0.26899,0
0.787539,0.933075,0.507355,0.42572,4.635554,1.050059,0
1.360793,1.570511,1.003265,0.567245,0.808967,0.291209,0
6.124818,6.505966,5.670929,0.835037,-0.726716,0.645663,0
0.763711,0.905228,0.489426,0.415802,3.163913,0.918958,0
1.287714,1.44043,0.912094,0.528336,5.885637,1.374326,0
0.7717,0.905228,0.489426,0.415802,3.841136,0.882472,0
